College_ID,College_Name,College_Type,Estd_Year,Division,District,Location_City,Address,Affiliating_University,Key_Degrees_Offered,Website,Contact_Info,Review_Score_5,Review_Summary,Estimated_Annual_Fee_INR
Jammu Division,,,,,,,,,,,,,,
J-GDC-01,GGM Science College,Degree College,1905,Jammu,Jammu,Jammu,"Canal Road, Jammu-Tawi(J&K) 180001",Cluster University of Jammu,"BSc, BCA, MA English, M.Sc Geology",www.ggmsciencecollege.in,0191-2953033,3.8,"Good faculty and infrastructure, but lacks placement opportunities and some buildings need repair.","10,000 - 12,500"
J-GDC-02,"Govt. College for Women, Parade Ground",Degree College,1944,Jammu,Jammu,Jammu,"Opposite Parade Ground, Old Jammu City, Jammu and Kashmir UT, 180001",Autonomous (Cluster University of Jammu),"BA, BSc, BCom, BCA, M.Sc, MCA",www.gcwparade.in,0191-2544305,3.5,"Praised for affordable fees and decent academics but criticized for poor placements, small campus, and congested area.","28,000 - 95,000"
J-GDC-03,Govt. Maulana Azad Memorial College,Degree College,1954,Jammu,Jammu,Jammu,"Baba Saheb Ambedkar Road, Jammu Tawi (J&K)-180006",Cluster University of Jammu,"BA, BSc, BCom, BCA",www.mamcollegejammu.org,0191-2430754,3.6,"Good faculty and campus life, but issues with canteen size, washroom hygiene, and occasional campus disturbances.","5,000 - 15,000"
J-GDC-04,Govt. SPMR College of Commerce,Degree College,1955,Jammu,Jammu,Jammu,"Canal Road, Jammu",Cluster University of Jammu,"BCom, BBA, BCA, MCom",www.spmrcollege.org,9419119869,3.6,"Good faculty and placement record for commerce, but infrastructure needs improvement.",N/A
J-GDC-05,"Govt. Degree College, Akhnoor",Degree College,2005,Jammu,Jammu,Akhnoor,"Kaleeth Road, Akhnoor",University of Jammu,"BA, BSc, BCom, BCA",gdcakhnoor.com,N/A,3.5,"Supportive faculty, but poor infrastructure, lack of transport, and minimal placement support.","5,000 - 9,000"
J-GDC-06,"Govt. Degree College, Paloura (Mishriwala)",Degree College,2008,Jammu,Jammu,Jammu,"Mishriwala, Jammu, 180018",University of Jammu,"BA, BSc",www.gdcpaloura.in,0191-2565182,4.1,"Good academic environment and supportive faculty, with average placements.","46,000 - 67,000 (Total)"
J-GDC-07,"Govt. Degree College, Bishnah",Degree College,N/A,Jammu,Jammu,Bishnah,N/A,University of Jammu,"BA, BSc, BCom",N/A,N/A,N/A,N/A,N/A
J-GDC-08,"Govt. Degree College, R.S Pura",Degree College,N/A,Jammu,Jammu,R.S Pura,N/A,University of Jammu,"BA, BSc, BCom",N/A,N/A,N/A,N/A,N/A
J-GDC-09,"Govt. Degree College, Marh",Degree College,N/A,Jammu,Jammu,Marh,N/A,University of Jammu,"BA, BSc, BCom",N/A,N/A,N/A,N/A,N/A
